,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout_rate,param_epochs,param_learning_rate,param_num_rnn_layers,param_rnn_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,398.44866704940796,10.015664881299443,1.7878672281901042,0.08994395670974362,32,0.2,20,0.001,1,64,"{'batch_size': 32, 'dropout_rate': 0.2, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7344016365496079,0.745225102319236,0.7557980900409277,0.7451416096365905,0.008735265070299595,5
1,405.1757599512736,10.395665898121935,1.7646559874216716,0.05275854792507057,32,0.2,20,0.001,1,128,"{'batch_size': 32, 'dropout_rate': 0.2, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7204227753153768,0.7193042291950886,0.7561391541609823,0.7319553862238158,0.01710660223587843,14
2,772.808023929596,200.13963399173537,1.2361621061960857,0.4201055535457164,32,0.2,50,0.001,1,64,"{'batch_size': 32, 'dropout_rate': 0.2, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.733037845209683,0.7141882673942701,0.7448840381991815,0.7307033836010448,0.012639748667822111,15
3,624.3937815030416,191.45284078266488,1.1930598417917888,0.5727532635866571,32,0.2,50,0.001,1,128,"{'batch_size': 32, 'dropout_rate': 0.2, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7251960450051143,0.7141882673942701,0.7489768076398363,0.7294537066797403,0.014517951997579392,16
4,391.30330634117126,9.117326289636948,2.0935043493906655,0.21326500156599962,32,0.5,20,0.001,1,64,"{'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7476986021138766,0.7360163710777626,0.7448840381991815,0.7428663371302736,0.004978083211966248,9
5,399.06593259175617,13.237231057543472,1.554919163386027,0.33555740886649454,32,0.5,20,0.001,1,128,"{'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7487214456188204,0.7360163710777626,0.7527285129604365,0.7458221098856731,0.007124068703897788,3
6,771.8969495296478,327.03794580095115,1.1356901327768962,0.5062029004824966,32,0.5,50,0.001,1,64,"{'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7374701670644391,0.7179399727148704,0.7496589358799455,0.7350230252197516,0.013064316118671305,13
7,736.1263057390848,151.3753559768472,1.2265955607096355,0.4665045312706326,32,0.5,50,0.001,1,128,"{'batch_size': 32, 'dropout_rate': 0.5, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7456529151039891,0.737380627557981,0.754774897680764,0.7459361467809114,0.007104004664656638,2
8,100.19279042879741,1.7660293589200633,0.8106516202290853,0.00557756395527397,64,0.2,20,0.001,1,64,"{'batch_size': 64, 'dropout_rate': 0.2, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7432662802591203,0.7442019099590723,0.7636425648021828,0.7503702516734584,0.009392712514640965,1
9,102.48595952987671,0.5895165203021165,0.7962140242258707,0.035594223897536637,64,0.2,20,0.001,1,128,"{'batch_size': 64, 'dropout_rate': 0.2, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7309921581997955,0.7332878581173261,0.7660300136425648,0.7434366766532289,0.01600336874459276,7
10,252.06209524472555,2.742831659214654,0.81601881980896,0.023582429458657263,64,0.2,50,0.001,1,64,"{'batch_size': 64, 'dropout_rate': 0.2, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7405386975792704,0.7268076398362893,0.762619372442019,0.7433219032858595,0.014751942777364736,8
11,253.9406872590383,1.4122066670727598,0.8487287362416586,0.037344736800185976,64,0.2,50,0.001,1,128,"{'batch_size': 64, 'dropout_rate': 0.2, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7429253324241392,0.7223738062755798,0.7609140518417462,0.7420710635138218,0.015745580620255616,10
12,103.43227402369182,2.3191247969985285,0.8380544980367025,0.0352475025861531,64,0.5,20,0.001,1,64,"{'batch_size': 64, 'dropout_rate': 0.5, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7422434367541766,0.735675306957708,0.7540927694406548,0.7440038377175132,0.007621241794767912,6
13,106.87356567382812,10.790514958010439,0.7714018821716309,0.026766874153881483,64,0.5,20,0.001,1,128,"{'batch_size': 64, 'dropout_rate': 0.5, 'epochs': 20, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7374701670644391,0.734993178717599,0.7633015006821282,0.7452549488213887,0.012800843549401066,4
14,253.24509223302206,1.3107546859301067,0.9088217417399088,0.11811827055106788,64,0.5,50,0.001,1,64,"{'batch_size': 64, 'dropout_rate': 0.5, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 64}",0.7282645755199455,0.7295361527967258,0.7554570259208732,0.7377525847458482,0.01252968888101767,12
15,498.58249560991925,69.68368889366225,1.8484248320261638,0.05660437501518501,64,0.5,50,0.001,1,128,"{'batch_size': 64, 'dropout_rate': 0.5, 'epochs': 50, 'learning_rate': 0.001, 'num_rnn_layers': 1, 'rnn_units': 128}",0.7453119672690078,0.727830832196453,0.75,0.7410475998218202,0.009539623422649052,11
